short_name	fullname	analyte_class	lion_id	match_form	candidates_tried
FA 2:0	Acetic acid	Fatty acids	<unmatched>	-	
FA 3:0	Propanoic acid	Fatty acids	<unmatched>	-	
FA 3:0-2M	Isobutyric acid	Fatty acids	<unmatched>	-	
FA 4:0	Butyric acid	Fatty acids	<unmatched>	-	
FA 4:0-2M	2-Methylbutyric acid	Fatty acids	<unmatched>	-	
FA 4:0-3M	Isovaleric acid	Fatty acids	<unmatched>	-	
FA 5:0	Valeric acid	Fatty acids	<unmatched>	-	
FA 5:0-3M	3-Methylvaleric acid	Fatty acids	<unmatched>	-	
FA 5:0-4M	Isocaproic acid	Fatty acids	<unmatched>	-	
FA 6:0	Caproic acid	Fatty acids	<unmatched>	-	
FA 7:0	Heptanoic acid	Fatty acids	<unmatched>	-	
FA 8:0	Caprylic acid	Fatty acids	<unmatched>	-	
FA 9:0	Nonanoic acid	Fatty acids	<unmatched>	-	
FA 10:0	Capric acid	Fatty acids	<unmatched>	-	
FA 11:0	Undecanoic acid	Fatty acids	<unmatched>	-	
FA 12:0	Lauric acid	Fatty acids	<unmatched>	-	
FA 14:0	Myristic acid	Fatty acids	<unmatched>	-	
FA 14:1n-5	Myristoleic acid	Fatty acids	<unmatched>	-	
FA 15:0	Pentadecanoic acid	Fatty acids	<unmatched>	-	
FA 16:0	Palmitic acid	Fatty acids	<unmatched>	-	
FA 16:1	Palmitoleic acid	Fatty acids	<unmatched>	-	
FA 18:0	Stearic acid	Fatty acids	<unmatched>	-	
FA 18:1	Oleic acid	Fatty acids	<unmatched>	-	
FA 18:2	Linoleic acid	Fatty acids	<unmatched>	-	
FA 18:3	Octadecatrienoic acid	Fatty acids	<unmatched>	-	
FA 20:0	Arachidic acid	Fatty acids	<unmatched>	-	
FA 20:1n-9	Gondoic acid	Fatty acids	<unmatched>	-	
FA 20:2	Eicosadienoic acid	Fatty acids	<unmatched>	-	
FA 20:3n-6	Dihomo-gamma-linolenic acid (omega6)	Fatty acids	<unmatched>	-	
FA 20:3n-9	Mead acid	Fatty acids	<unmatched>	-	
FA 20:4n-6 (AA)	Arachidonic acid (AA; omega6)	Fatty acids	<unmatched>	-	
FA 20:5n-3 (EPA)	Eicosapentaenoic acid (EPA; omega3)	Fatty acids	<unmatched>	-	
FA 22:0	Behenic acid	Fatty acids	<unmatched>	-	
FA 22:4n-6	Docosatetraenoic acid (omega6)	Fatty acids	<unmatched>	-	
FA 22:5n-3 (DPA)	Docosapentaenoic acid (DPA, omega3)	Fatty acids	<unmatched>	-	
FA 22:6n-3 (DHA)	Docosahexaenoic acid (DHA; omega3)	Fatty acids	<unmatched>	-	
FA 24:0	Lignoceric acid	Fatty acids	<unmatched>	-	
FA 24:1n-9	Nervonic acid	Fatty acids	<unmatched>	-	
FA 24:4n-6	Tetracosatetraenoic acid (omega6)	Fatty acids	<unmatched>	-	
C0	Carnitine	Acylcarnitines	<unmatched>	-	
C2	Acetylcarnitine	Acylcarnitines	<unmatched>	-	
C3	Propionylcarnitine	Acylcarnitines	<unmatched>	-	
C3-DC (C4-OH)	Malonylcarnitine (Hydroxybutyrylcarnitine)	Acylcarnitines	<unmatched>	-	
C3-OH	Hydroxypropionylcarnitine	Acylcarnitines	<unmatched>	-	
C3:1	Propenoylcarnitine	Acylcarnitines	<unmatched>	-	
C4	Butyrylcarnitine	Acylcarnitines	<unmatched>	-	
C4:1	Butenylcarnitine	Acylcarnitines	<unmatched>	-	
C5	Valerylcarnitine	Acylcarnitines	<unmatched>	-	
C5-DC (C6-OH)	Glutarylcarnitine (Hydroxyhexanoylcarnitine)	Acylcarnitines	<unmatched>	-	
C5-M-DC	Methylglutarylcarnitine	Acylcarnitines	<unmatched>	-	
C5-OH (C3-DC-M)	Hydroxyvalerylcarnitine (Methylmalonylcarnitine)	Acylcarnitines	<unmatched>	-	
C5:1	Tiglylcarnitine	Acylcarnitines	<unmatched>	-	
