set_name	shortname	fullname	direction	lion_term_id
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-16:0/14:0	PE P-16:0/14:0	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-16:0/15:0	PE P-16:0/15:0	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-16:0/16:0	PE P-16:0/16:0	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-16:0/16:1	PE P-16:0/16:1	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-16:0/18:1	PE P-16:0/18:1	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-16:0/18:2	PE P-16:0/18:2	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-16:0/18:3	PE P-16:0/18:3	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-16:0/20:3	PE P-16:0/20:3	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-16:0/20:4	PE P-16:0/20:4	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-16:0/20:5	PE P-16:0/20:5	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-16:0/22:4	PE P-16:0/22:4	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-16:0/22:5	PE P-16:0/22:5	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-16:0/22:6	PE P-16:0/22:6	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-18:0/14:0	PE P-18:0/14:0	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-18:0/16:0	PE P-18:0/16:0	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-18:0/16:1	PE P-18:0/16:1	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-18:0/17:1	PE P-18:0/17:1	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-18:0/18:0	PE P-18:0/18:0	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-18:0/18:1	PE P-18:0/18:1	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-18:0/18:2	PE P-18:0/18:2	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-18:0/18:3	PE P-18:0/18:3	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-18:0/19:1	PE P-18:0/19:1	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-18:0/20:1	PE P-18:0/20:1	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-18:0/20:2	PE P-18:0/20:2	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-18:0/20:3	PE P-18:0/20:3	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-18:0/20:4	PE P-18:0/20:4	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-18:0/20:5	PE P-18:0/20:5	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-18:0/22:1	PE P-18:0/22:1	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-18:0/22:2	PE P-18:0/22:2	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-18:0/22:3	PE P-18:0/22:3	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-18:0/22:4	PE P-18:0/22:4	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-18:0/22:5	PE P-18:0/22:5	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-18:0/22:6	PE P-18:0/22:6	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-18:1/18:1	PE P-18:1/18:1	-	LION:0000040
LION_1_1Z_ALKENYL_2_ACYLGLYCEROPHOSPHOETHANOLAMINES	PE P-18:1/18:2	PE P-18:1/18:2	-	LION:0000040
