set_name	shortname	fullname	direction	pathway_source_id	kegg_id	hmdb_id	ramp_id
REACTOME_ABC_TRANSPORTER_DISORDERS	GCA	Glycocholic acid	-	R-HSA-5619084	C01921	HMDB0000138	RAMP_C_000000089
REACTOME_ABC_TRANSPORTER_DISORDERS	GCDCA	Glycochenodeoxycholic acid	-	R-HSA-5619084	C05462	HMDB0000637	RAMP_C_000002951
REACTOME_ABC_TRANSPORTER_DISORDERS	TCDCA	Taurochenodeoxycholic acid	-	R-HSA-5619084	C05465	HMDB0000951	RAMP_C_000219362
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	FA 16:0	Palmitic acid	-	R-HSA-2426168	C00249	HMDB0000220	RAMP_C_000219234
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	FA 18:2	Linoleic acid	-	R-HSA-2426168	C01595	HMDB0000673	RAMP_C_000263195
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	FA 20:4n-6 (AA)	Arachidonic acid (AA; omega6)	-	R-HSA-2426168	C00219	HMDB0001043	RAMP_C_000000804
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	FA 20:5n-3 (EPA)	Eicosapentaenoic acid (EPA; omega3)	-	R-HSA-2426168	C06428	HMDB0001999	RAMP_C_000001315
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	Glu	Glutamic acid	-	R-HSA-442755	C00025	HMDB0000148	RAMP_C_000218397
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	Gly	Glycine	-	R-HSA-442755	C00037	HMDB0000123	RAMP_C_000000078
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	cAMP	Adenosine monophosphate, cyclic (cAMP)	-	R-HSA-442755	C00575	HMDB0000058	RAMP_C_000218758
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	DG 16:0_16:0	DG 16:0_16:0	-	R-HSA-1280218	C00165	HMDB0007098	RAMP_C_000219428
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	PS 32:0	PS 32:0	-	R-HSA-1280218	C02737	HMDB0000614	RAMP_C_000217830
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	cAMP	Adenosine monophosphate, cyclic (cAMP)	-	R-HSA-1280218	C00575	HMDB0000058	RAMP_C_000218758
REACTOME_ADIPOGENESIS	FA 16:0	Palmitic acid	-	R-HSA-9843745	C00249	HMDB0000220	RAMP_C_000219234
REACTOME_ADIPOGENESIS	FA 18:2	Linoleic acid	-	R-HSA-9843745	C01595	HMDB0000673	RAMP_C_000263195
REACTOME_ADIPOGENESIS	FA 20:4n-6 (AA)	Arachidonic acid (AA; omega6)	-	R-HSA-9843745	C00219	HMDB0001043	RAMP_C_000000804
REACTOME_ADIPOGENESIS	FA 20:5n-3 (EPA)	Eicosapentaenoic acid (EPA; omega3)	-	R-HSA-9843745	C06428	HMDB0001999	RAMP_C_000001315
REACTOME_ADIPOGENESIS	FA 22:6n-3 (DHA)	Docosahexaenoic acid (DHA; omega3)	-	R-HSA-9843745	C06429	HMDB0002183	RAMP_C_000001447
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	2-OH-Glutaric acid	2-Hydroxyglutaric acid	-	R-HSA-1428517	C01087	HMDB0000606	RAMP_C_000219574
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	AHCys	S-Adenosylhomocysteine	-	R-HSA-1428517	C00021	HMDB0000939	RAMP_C_000218715
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	Ala	Alanine	-	R-HSA-1428517	C00041	HMDB0000161	RAMP_C_000000104
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	Asp	Aspartic acid	-	R-HSA-1428517	C00049	HMDB0000191	RAMP_C_000218398
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	Citric acid	Citric acid	-	R-HSA-1428517	C00158	HMDB0000094	RAMP_C_000218121
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	FA 18:1	Oleic acid	-	R-HSA-1428517	C00712	HMDB0000207	RAMP_C_000218407
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	FA 2:0	Acetic acid	-	R-HSA-1428517	C00033	HMDB0000042	RAMP_C_000218400
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	Fumaric acid	Fumaric acid	-	R-HSA-1428517	C00122	HMDB0000134	RAMP_C_000218394
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	Glu	Glutamic acid	-	R-HSA-1428517	C00025	HMDB0000148	RAMP_C_000218397
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	Glyoxylic acid	Glyoxylic acid	-	R-HSA-1428517	C00048	HMDB0000119	RAMP_C_000218495
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	Isocitric acid	Isocitric acid	-	R-HSA-1428517	C00311	HMDB0000193	RAMP_C_000217206
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	Itaconic acid	Itaconic acid	-	R-HSA-1428517	C00490	HMDB0002092	RAMP_C_000218143
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	Lac	Lactic acid	-	R-HSA-1428517	C00186	HMDB0000190	RAMP_C_000218078
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	Malic acid	Malic acid	-	R-HSA-1428517	C00149	HMDB0000156	RAMP_C_000218036
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	Nicotinamide (B3)	Nicotinamide (B3)	-	R-HSA-1428517	C00153	HMDB0001406	RAMP_C_000001067
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	Oxaloacetic acid	Oxaloacetic acid	-	R-HSA-1428517	C00036	HMDB0000223	RAMP_C_000262942
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	Phe	Phenylalanine	-	R-HSA-1428517	C00079	HMDB0000159	RAMP_C_000218749
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	Pyruvic acid	Pyruvic acid	-	R-HSA-1428517	C00022	HMDB0000243	RAMP_C_000218028
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	Suc	Succinic acid	-	R-HSA-1428517	C00042	HMDB0000254	RAMP_C_000218399
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	a-Ketoglutaric acid	alpha-Ketoglutaric acid	-	R-HSA-1428517	C00026	HMDB0000208	RAMP_C_000274401
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	cAMP	Adenosine monophosphate, cyclic (cAMP)	-	R-HSA-1428517	C00575	HMDB0000058	RAMP_C_000218758
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION	FA 2:0	Acetic acid	-	R-HSA-5423646	C00033	HMDB0000042	RAMP_C_000218400
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION	Glu	Glutamic acid	-	R-HSA-5423646	C00025	HMDB0000148	RAMP_C_000218397
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION	Gly	Glycine	-	R-HSA-5423646	C00037	HMDB0000123	RAMP_C_000000078
REACTOME_AGMATINE_BIOSYNTHESIS	Agmatine	Agmatine	-	R-HSA-351143	C00179	HMDB0001432	RAMP_C_000001088
