set_name	shortname	fullname	direction	pathway_source_id	kegg_id	hmdb_id	ramp_id
SMPDB_27_HYDROXYLASE_DEFICIENCY	CA	Cholic acid	-	SMP00720	C00695	HMDB0000505	RAMP_C_000218390
SMPDB_27_HYDROXYLASE_DEFICIENCY	CDCA	Chenodeoxycholic acid	-	SMP00720	C02528	HMDB0000518	RAMP_C_000000390
SMPDB_27_HYDROXYLASE_DEFICIENCY	CE 22:2	CE 22:2	-	SMP00720		HMDB0006737	RAMP_C_000002853
SMPDB_27_HYDROXYLASE_DEFICIENCY	DCA	Deoxycholic acid	-	SMP00720	C04483	HMDB0000626	RAMP_C_000263082
SMPDB_27_HYDROXYLASE_DEFICIENCY	FA 16:0	Palmitic acid	-	SMP00720	C00249	HMDB0000220	RAMP_C_000219234
SMPDB_27_HYDROXYLASE_DEFICIENCY	GCA	Glycocholic acid	-	SMP00720	C01921	HMDB0000138	RAMP_C_000000089
SMPDB_27_HYDROXYLASE_DEFICIENCY	GCDCA	Glycochenodeoxycholic acid	-	SMP00720	C05462	HMDB0000637	RAMP_C_000002951
SMPDB_27_HYDROXYLASE_DEFICIENCY	GDCA	Glycodeoxycholic acid	-	SMP00720	C05464	HMDB0000631	RAMP_C_000000484
SMPDB_27_HYDROXYLASE_DEFICIENCY	GLCA	Glycolithocholic acid	-	SMP00720	C15557	HMDB0000698	RAMP_C_000261925
SMPDB_27_HYDROXYLASE_DEFICIENCY	GLCAS	Glycolithocholic acid sulfate	-	SMP00720	C15557	HMDB0000698	RAMP_C_000261925
SMPDB_27_HYDROXYLASE_DEFICIENCY	Gly	Glycine	-	SMP00720	C00037	HMDB0000123	RAMP_C_000000078
SMPDB_27_HYDROXYLASE_DEFICIENCY	LCA	Lithocholic acid	-	SMP00720	C03990	HMDB0000381	RAMP_C_000000277
SMPDB_27_HYDROXYLASE_DEFICIENCY	TCA	Taurocholic acid	-	SMP00720	C05122	HMDB0000036	RAMP_C_000171306
SMPDB_27_HYDROXYLASE_DEFICIENCY	TCDCA	Taurochenodeoxycholic acid	-	SMP00720	C05465	HMDB0000951	RAMP_C_000219362
